872	150	172	526	125	107	0	0	107	102.493
1530	118	251	1858	118	79	0	0	79	-27.7633
200	132	172	716	121	1	627	147	1	106.011
111	115	158	1539	112	257	1345	143	1	-27.4146
135	143	179	382	118	113	1805	143	1	47
1341	136	309	298	128	172	0	0	0	74.3044
579	132	172	537	154	145	0	0	172	103.032
132	132	158	818	128	172	468	147	1	102.913
100	128	165	994	128	1	283	136	1	80.5607
361	143	172	1074	132	107	0	0	172	106.155
107	115	172	600	128	145	654	132	1	92.8739
421	115	172	801	139	185	0	0	172	105.938
1038	150	316	1965	143	66	0	0	1	-28.4552
756	147	165	262	125	210	868	128	1	93.6807
615	136	217	1534	125	172	0	0	172	55.966
962	143	165	315	125	151	0	0	1	103.534
523	150	210	772	132	172	0	0	172	103.424
228	132	172	496	157	165	654	128	1	106.435
713	118	179	430	147	1	132	157	1	107.132
1324	136	210	0	0	179	0	0	158	106.767
35	157	179	1081	128	172	339	136	1	106.563
792	139	172	338	115	1	260	150	1	103.62
728	147	244	624	121	165	0	0	1	103.209
454	143	172	221	136	1	0	0	1	105.952
230	143	172	815	147	1	372	121	1	103.622
64	161	151	1456	112	230	1805	112	1	-23.1309
55	115	158	872	132	179	547	143	1	106.36
867	132	230	400	143	158	0	0	1	103.742
646	139	251	569	136	185	0	0	185	102.348
540	136	172	1179	136	100	0	0	172	104.691
932	147	185	661	121	79	0	0	1	103
726	150	172	794	125	100	0	0	1	102.376
893	150	172	656	128	113	0	0	113	101.155
805	132	251	519	128	158	0	0	1	105.44
651	136	223	608	143	179	0	0	1	103.229
524	125	237	970	147	165	0	0	165	106.504
1202	121	165	501	154	1	110	128	1	81.529
80	125	165	803	147	179	692	125	1	105.456
853	147	217	446	128	172	0	0	1	104.228
398	161	172	194	143	1	0	0	1	105.972
819	125	217	466	136	151	0	0	1	106.903
160	147	179	1081	139	86	0	0	179	103.626
1392	136	230	0	0	158	0	0	179	104.728
145	157	172	962	121	1	539	147	1	104.421
24	115	172	446	147	165	1059	128	1	106.366
783	121	179	398	147	1	149	157	1	105.251
580	147	165	661	125	86	0	0	1	100.394
1180	136	179	235	128	1	177	128	1	105.994
527	125	210	2378	139	185	0	0	0	12.1104
250	128	179	1018	143	100	0	0	179	101.254
577	136	230	951	143	151	0	0	151	103.966
983	132	185	857	147	165	0	0	185	104.274
3018	112	172	132	125	107	0	0	172	-32.7722
581	125	165	902	143	100	0	0	1	104.186
517	132	172	406	125	1	234	157	1	100.662
456	147	179	693	147	113	0	0	1	101.391
244	128	257	1196	139	158	0	0	1	104.374
430	128	210	103	164	172	812	132	1	105.918
1021	136	230	120	125	165	0	0	1	105.771
350	161	230	983	136	179	0	0	179	103.302
541	136	244	887	128	151	0	0	1	103.819
1768	157	237	99	115	1	0	0	1	38.9095
514	121	217	373	161	172	0	0	1	105.882
778	128	185	80	132	158	532	136	1	105.718
788	132	223	499	154	179	0	0	1	102.848
53	115	158	541	147	179	923	128	1	106.255
561	147	237	442	125	179	0	0	0	106.069
1625	161	251	741	143	107	0	0	0	-25.1945
641	136	165	653	132	113	0	0	1	104.589
78	143	138	2102	112	185	376	136	1	18.9788
208	143	165	565	125	185	819	147	1	102.969
172	139	172	996	139	1	218	125	1	106.633
874	143	172	85	112	210	500	128	1	106.893
682	121	257	708	143	165	0	0	1	103.381
3112	115	289	219	112	165	0	0	1	-22.5754
960	128	210	674	128	179	0	0	1	27.7648
373	128	158	109	136	210	667	147	1	102.666
462	139	172	5	125	179	1297	132	1	106.236
771	125	244	537	143	172	0	0	1	106.461
35	143	138	2088	112	1	0	0	1	26.6718
608	125	237	921	147	165	0	0	1	106.348
779	147	257	586	121	172	0	0	1	105.698
288	150	165	318	125	185	950	132	1	88.0825
793	118	210	43	118	66	1691	136	1	11.2502
2800	112	210	352	157	145	0	0	1	-1.19124
551	136	158	480	147	1	242	128	1	102.507
644	147	172	111	139	1	0	0	1	104.445
470	154	210	855	136	165	0	0	1	105.041
527	136	172	429	121	1	212	150	1	102.852
103	118	66	2983	115	185	719	115	1	-83.2656
164	132	158	2448	128	1	105	150	1	23.2703
355	147	237	795	121	165	0	0	1	106.618
884	136	179	524	121	1	188	143	1	106.531
440	150	158	275	143	1	0	0	1	103.885
395	121	179	42	143	158	1726	139	1	62.4113
2807	125	251	115	136	1	0	0	1	-34.2745
191	139	165	576	121	1	577	147	1	104.748
1119	112	7	455	125	1	0	0	1	-35.0216
362	121	151	74	143	172	825	147	1	102.472
705	143	179	295	118	1	153	150	1	105.446
