989	136.15	132.07	694	125.8	157.57	-168.021
2243	136.15	148.78	552	129.15	191.93	-13.3416
1671	136.15	212.24	806	113.75	140.24	-12.1474
757	132.61	175.22	1840	147.04	191.93	-231.86
2271	122.58	166.43	661	147.04	183.76	-11.3788
2164	119.49	191.93	794	147.04	140.24	-17.3199
2020	122.58	191.93	530	154.22	148.78	-17.1911
2151	125.8	183.76	535	147.04	157.57	-12.699
5673	147.04	183.76	420	129.15	157.57	84.9021
1684	139.76	132.07	1232	119.49	191.93	-10.8382
2136	122.58	183.76	675	150.66	157.57	-13.9588
115	147.04	229.57	1816	113.75	183.76	-200.317
2490	139.76	183.76	381	125.8	183.76	-12.3475
2499	136.15	229.57	991	113.75	140.24	-66.3429
2037	136.15	157.57	697	129.15	183.76	-210.202
2229	129.15	175.22	511	139.76	191.93	-9.86996
2181	147.04	166.43	429	122.58	183.76	-12.853
1876	161.09	140.24	1119	129.15	191.93	-237.336
2250	147.04	191.93	269	122.58	166.43	-15.7638
2117	125.8	191.93	590	150.66	148.78	-16.4171
1895	116.54	191.93	698	150.66	166.43	-10.7318
2274	143.4	157.57	299	125.8	191.93	-13.0106
1846	161.09	148.78	837	119.49	175.22	-16.0495
1364	116.54	191.93	1472	150.66	132.07	-13.2018
2162	122.58	183.76	729	147.04	148.78	-15.2111
1398	129.15	166.43	1479	154.22	191.93	-222.49
2144	157.71	183.76	528	116.54	183.76	-16.2536
907	139.76	157.57	737	119.49	175.22	-141.467
2593	116.54	183.76	620	143.4	132.07	-255.326
4958	122.58	175.22	960	154.22	191.93	115.179
1909	147.04	148.78	775	119.49	183.76	-9.90015
1780	116.54	183.76	815	161.09	183.76	-16.6552
459	164.36	263.93	2495	122.58	166.43	-14.224
2218	143.4	148.78	392	122.58	183.76	-15.5934
2380	139.76	183.76	341	132.61	166.43	-15.2114
1115	154.22	204.07	1711	113.75	166.43	-14.2173
1434	125.8	183.76	715	150.66	140.24	-131.72
2116	122.58	191.93	541	143.4	157.57	-11.4309
1911	119.49	183.76	863	147.04	148.78	-9.7772
4489	122.58	191.93	1258	143.4	148.78	130
1889	154.22	157.57	841	116.54	183.76	-11.8969
1955	161.09	157.57	824	116.54	175.22	-23.5475
1923	157.71	191.93	573	116.54	166.43	-15.9962
1240	113.75	132.07	1294	161.09	183.76	-11.5257
742	139.76	175.22	228	119.49	191.93	-132.778
1590	113.75	191.93	1093	150.66	140.24	-16.4326
2359	139.76	183.76	198	132.61	157.57	-15.2359
1776	113.75	191.93	1119	150.66	157.57	-12.8795
2011	119.49	191.93	760	150.66	157.57	-13.8419
2063	154.22	166.43	579	119.49	183.76	-13.4961
1431	125.8	191.93	298	116.54	148.78	-163.24
1639	147.04	132.07	1062	119.49	191.93	-14.616
2759	139.76	175.22	1950	132.61	140.24	94.0405
1536	150.66	157.57	205	116.54	191.93	-16.5494
2700	143.4	31.22	1298	143.4	348.07	-219.312
1946	154.22	175.22	853	116.54	175.22	-8.30259
1726	150.66	132.07	826	116.54	191.93	-14.0362
1777	116.54	175.22	940	154.22	191.93	-6.89888
2147	119.49	191.93	433	150.66	166.43	-169.775
2416	129.15	183.76	305	139.76	166.43	-14.7706
2349	129.15	183.76	527	136.15	157.57	-14.1813
